Name,Measurements,Date of Birth,Hair color,Height,Weight
Jeannine Oldfield,42E-25-35,8/19/1969,,5-9,154
Jeff Butler,,,,,
Jeff Coldwater,,,,,
Jeffery Wolf,,,,,
Jelena Jensen,36DD-26-36,10/7/1981,Brown,5-10,134
Jelica Jae,,12/17/1983,,5-11,121
Jem Stone,,4/15/1987,,,
Jemini Jordan,,,,,
Jemma Valentine,,4/15/1991,,,
Jen Capone,34D-26-36,7/14/1989,,5-6,110
Jen Li,,,,,
Jen Padova,,,,,
Jen Stefani,,5/13/1984,,,
Jen X,,,,,
Jena Kay Ricci,,,,,
Jenaveve Jolie,34D-23-34,6/4/1984,Brown,5-1,105
Jene Doll,,,,,
Jeniffer Rio,,,,,
Jeniffer Silva,,,,,
Jenis King,,,,,
Jenla Moore,,,,,
Jenna Ashley,,2/12/1994,,,
Jenna Bouche,36DD-30-36,,,5-6,141
Jenna Brooks,36D-,4/16/1983,Black,5-6,132
Jenna Covelli,32C-28-34,2/25/1962,,5-10,121
Jenna Cruz,,5/3/1982,,,
Jenna Davis,34C-24-34,12/26/1976,,5-2,115
Jenna Destiny,,,,,
Jenna Doll,36DD-30-36,No data,Brown/Honey Blonde,5-7,134
Jenna Gold,,,,,
Jenna Haze,34B-22-34,2/22/1982,Brown,5-3,92
Jenna Heart,,5/21/1983,,,
Jenna Ivory,,6/16/1993,,,
Jenna James,,,,,
Jenna Jameson,32DD-22-33,4/9/1974,Blonde,5-4,110
Jenna Jane,,,,,
Jenna Jay,,,,,
Jenna Jayden,38H-26-36,,,5-4,148
Jenna Justine,,4/20/1991,,,
Jenna Lane,,,,,
Jenna Lovely,,2/8/1988,,,
Jenna Lynn,44E-23-34,10/7/1968,,5-9,130
Jenna Lyte,,,,,
Jenna Maree,,,,,
Jenna Marie,,11/25/1994,,,
Jenna Moretti,,2/15/1990,,,
Jenna Parks,,,,,
Jenna Presley,32B-22-32,4/1/1987,Brown,5-1,94
Jenna Red,36A-25-37,6/29/1981,Brown/Red/Auburn,5-5,132
Jenna Reid,,11/8/1997,,,
Jenna Rose,,2/20/1991,,,
Jenna Ross,,12/17/1988,,,
Jenna Sativa,,11/12/1992,,,
Jenna Sparx,,,,,
Jenna Suicide,,,,,
Jenna Sweet,36B-25-36,8/23/1986,,5-4,117
Jenna Taylor,,7/17/1989,,,
Jenna Valentine,36H-28-34,8/11/1986,,5-5,141
Jenna Wells,,,,,
Jenna Wild,,10/5/1963,,,
Jenni Gregg,35B-26-37,8/17/1983,,5-2,126
Jenni Kohoutova,,,,,
Jenni Lee,32C-23-35,2/11/1982,Dark Brown/Auburn,5-3,105
Jenni Loveitt,,,,,
Jenni Lynn,34D-23-35,7/1/1988,,5-9,112
Jenni Morrison,,3/13/1985,,,
Jenni Rhodes,,,,,
Jennica Lynn,34L >-34-40,2/5/1987,,5-0,187
Jennie Eu,,,,,
Jennie Louise,,,,,
Jennie Loveitt,34C-28-36,4/21/1975,,5-9,
Jennifer Adams,,5/25/1987,,,
Jennifer Allan,,,,,
Jennifer Andersson,,,,,
Jennifer Best,,,,,
Jennifer Blaze,,12/31/1991,,5-6,106
Jennifer Bliss,,,,,
Jennifer Brooks,No data,No data,No data,No data,No data
Jennifer Bucci,,,,,
Jennifer Dark,34B-25-35,8/18/1982,Brown,5-7,129
Jennifer Emerson,,,,,
Jennifer Gold,,3/31/1959,,,
Jennifer Heart,,,,,
Jennifer James,,2/20/1958,,,
Jennifer Janes,,2/20/1958,,,
Jennifer Korbin,,,,,
Jennifer Lao,,,,,
Jennifer Lavoie,,,,,
Jennifer Lee,No data,No data,Brown,No data,No data
Jennifer Leigh,,,,,
Jennifer Lilly,,,,,
Jennifer Linda,,9/16/1979,,,
Jennifer Loma,,,,,
Jennifer London,,,,,
Jennifer Luv,34C-25-36,10/10/1983,Black/Brown,5-5,121
Jennifer Lynn,,,,,
Jennifer Max,,,,,
Jennifer Morante,,,,,
Jennifer Nahra,,,,,
Jennifer Red,33C-22-33,5/13/1976,,5-9,104
Jennifer Reed,,,,,
Jennifer Rovero,,,,,
Jennifer Singer,,,,,
Jennifer Slamme,,12/31/1987,,5-2,99
Jennifer Sloan,,,,,
Jennifer Slutson,,,,,
Jennifer Steele,,,,,
Jennifer Stewart,34-23-36,9/29/1968,Dark Blonde,5-10,No data
Jennifer Stone,35-25-36,7/9/1981,Brown,5-10,129
Jennifer Timberlake,,,,,
Jennifer Vale,,7/9/1981,,,
Jennifer Vokova,40G-32-34,10/10/1983,,5-2,176
Jennifer Walcott,,,,,
Jennifer Welles,No data,No data,Blonde,No data,No data
Jennifer White,,2/6/1988,,,
Jenny Alexander,,,,,
Jenny Anderson,,,,,
Jenny Andrews,,,,,
Jenny Badeau,,,,,
Jenny Blair,,,,,
Jenny Delugo,,7/1/1988,,,
Jenny Di Mornay,,,,,
Jenny Fox,,,,,
Jenny G,,10/9/1992,,,
Jenny Gable,,,,,
Jenny Glam,,10/9/1992,,,
Jenny Hamilton,34C-26-34,8/27/1967,,5-4,110
Jenny Hard,,5/13/1991,,,
Jenny Hendrix,34-24-36,4/5/1986,Blonde,5-8,105
Jenny Joyce,,3/7/1985,,,
Jenny Lez,,,,,
Jenny Lopez,,,,,
Jenny Love,,,,,
Jenny Lynn,,,,,
Jenny Macarthur,,2/12/1976,,,
Jenny March,34B-24-33,10/8/1977,,5-9,
Jenny Mason,,,,,
Jenny McArthur,,,,,
Jenny McCarthy,,,,,
Jenny Mcclain,36F-28-38,,,5-2,115
Jenny Noel,,7/7/1988,,,
Jenny One,,5/22/1982,,,
Jenny Poussin,,,,,
Jenny Rider,,,,,
Jenny Ryder,,,,,
Jenny Sanders,36A-24-38,11/13/1982,Blonde,5-6,118
Jenny Simons,,4/11/1988,,,
Jenny Smart,,10/10/1988,,,
Jenny Stone,,3/26/1986,,,
Jenny Up Destroy,34C-25-36,11/4/1984,,5-5,99
Jenny Vergin,,,,,
Jenny Virgin,,,,,
Jenny White,,,,,
Jenny Wings,36A-25-35,5/2/1982,,5-0,
Jennyfer Cool,,,,,
Jens Xp,,,,,
Jenteal,34B-24-34,6/26/1976,Blonde,5-6,116
Jeny Baby,No data,5/14/1987,Brown,5-3,99
Jeny Barby,,,,,
Jeny Snow,,,,,
Jeri Does,,5/31/1956,,5-9,
Jerome Tanner,,,,,
Jerri Lee,32A-22-36,11/9/1986,,5-10,106
Jerrika Michaels,,,,,
Jerry Dawson,,,,,
Jersey Cummings,34C-28-40,10/21/1984,,5-0,130
Jersey James,,,,5-4,126
Jersey Jaxin,34B-24-27,12/22/1981,Brown,4-11,94
Jersey Montana,,,,,
Jersey Sky,,,,,
Jersey Thomas,,,,,
Jerzi Lynn,32A-23-33,1/7/1981,Blonde,4-11,99
Jes Craven,,,,,
Jesicca Neidth,,9/3/1992,,,
Jesie St James,,,,,
Jesika Diamond,,9/14/1988,,,
Jeska Vardinski,33B-23-34,10/28/1985,,5-1,115
Jesmi Lynn,,,,,
Jess Wakefield,No data,No data,Sandy Blonde,No data,No data
Jess West,,3/1/1983,,,
Jessa Lee,,,,,
Jessa Rhodes,32B-25-36,6/29/1993,,5-0,110
Jesse Capelli,34D-26-36,5/21/1979,Brown,5-7,121
Jesse James,,7/29/1950,,,
Jesse Jane,34D-22-33,7/16/1980,Blonde,5-3,107
Jesse Jordan,,3/3/1989,,,
Jesse V,34C-24-34,11/30/1980,Brown,5-2,110
Jesseca Turner,,,,,
Jessi Castro,No data,2/17/1987,Brown,5-5,114
Jessi Foster,,,,,
Jessi Gold,,,,,
Jessi June,34C-24-35,11/23/1991,,5-0,110
Jessi Lopez,,,,,
Jessi Palmer,,6/4/1988,,,
Jessi Rhodes,38DD-34-39,,,5-11,148
Jessi Stone,,,,,
Jessi Summers,34DD-26-36,8/19/1987,Dirty Blonde,5-8,129
Jessica Allbutt,38B-27-58,,,5-1,150
Jessica Andrada,,,,,
Jessica Angel,34B-25-36,10/27/1982,Blonde,5-1,99
Jessica Ash,,,,,
Jessica Bangkok,,12/19/1980,,,
Jessica Bee,32A-24-36,7/19/1988,,5-4,110
Jessica Bitch,,,,,
Jessica Blade,34D-24-38,9/14/1986,,5-7,135
Jessica Blue,,6/15/1986,,,
Jessica Bunny,,,,,
Jessica Canizales,,,,,
Jessica Cooper,,,,,
Jessica Creepshow,,,,,
Jessica Cummings,,,,,
Jessica Cute,,,,,
Jessica Dalton,,,,,
Jessica Danielle,,,,,
Jessica Darlin,36C-24-32,3/22/1976,Blonde,5-3,103
Jessica Dawn,,,,,
Jessica Day,34-22-34,No data,Brown,5-6,121
Jessica Dee,34B-24-36,11/14/1978,Brown/Blonde/Red,5-4,121
Jessica Difeo,34C-23-34,5/12/1977,Brown,5-6,110
Jessica Drake,34C-24-33,10/14/1974,Brown/Blonde,5-9,110
Jessica Drew,34D-30-37,9/8/1985,,5-4,135
Jessica Fiorentino,34B-23-35,9/16/1979,Black/Brown,5-5,118
Jessica Fuentes,,10/1/1993,,5-10,99
Jessica Gayle,,1/13/1977,,,
Jessica Girl,,11/10/1979,,,
Jessica Grabbit,,,,,
Jessica Heart,,,,,
Jessica Henty,,,,,
Jessica Host,,,,,
Jessica Hot,,,,,
Jessica Jameson,,,,,
Jessica Jamison,36DD-26-34,,,5-7,121
Jessica Jammer,32A-24-27,8/11/1984,Blonde,5-3,99
Jessica Jaymes,32D-22-33,3/8/1979,Brown,5-4,116
Jessica Jensen,,1/30/1992,,,
Jessica Jewel,34DD-24-34,10/17/1971,Brown,5-4,114
Jessica Jones,,,,,
Jessica Jordan,,,,,
Jessica Juggs,No data,No data,Strawberry Blonde,No data,No data
Jessica Jules,34B-26-37,7/22/1984,,5-4,
Jessica Justice,36H-24-36,6/12/1977,,5-7,126
Jessica Koks,,4/26/1991,,,
Jessica Kramer,,,,,
Jessica Lauren,,,,,
Jessica Linn,No data,No data,Blonde,5-4,No data
Jessica Lo,,11/1/1991,,,
Jessica Lock,,,,,
Jessica Love,,10/25/1978,,,
Jessica Lynn,34D,No data,Blonde,5-6,114
Jessica Marie,34DD-26-36,1/12/1985,,5-2,110
Jessica Mark,,,,,
Jessica Martinez,,10/14/1991,,,
Jessica May,32B-24-34,5/23/1979,Blonde,5-7,116
Jessica Miller,,9/17/1989,,,
Jessica Moore,38C-26-37,11/14/1985,Brown/Blonde,5-2,112
Jessica Night,,,,,
Jessica Nyx,,12/30/1991,,,
Jessica Oliveira,,,,,
Jessica Rabbit,,11/20/1994,,,
Jessica Rayne,,,,,
Jessica Renee,,,,,
Jessica Right,,5/18/1989,,,
Jessica Road,,,,,
Jessica Roberts,,5/24/1988,,,
Jessica Ruby,36B-26-36,,,5-6,110
Jessica Ryan,,9/3/1986,,,
Jessica Ryder,,,,,
Jessica Sanchez,,4/15/1982,,,
Jessica Sexin,34C-26-33,8/28/1985,,5-0,115
Jessica Sexton,,,,,
Jessica Shaw,,1/1/1984,,,
Jessica Simmons,,,,,
Jessica Star,,,,,
Jessica Steele,,,,,
Jessica Stone,,,,,
Jessica Strom,,,,,
Jessica Sweet,34DD-24-34,9/24/1985,Blonde,5-6,125
Jessica Taylor,34D-26-38,6/7/1989,,5-0,130
Jessica Tight,34C-25-36,,,5-5,121
Jessica Turner,44EE-28-36,5/1/1979,,5-2,146
Jessica Valderama,,,,,
Jessica Valentino,No data,1/14/1989,Brown,No data,No data
Jessica Woods,,,,,
Jessica Wylde,,12/3/1956,,,
Jessica Young,,,,,
Jessica Zaphire,,,,,
Jessie Andrews,,3/22/1992,,,
Jessie Cox,,,,,
Jessie Electra,,,,,
Jessie Fontana,,,,,
Jessie J,,8/9/1982,,,
Jessie James,,4/20/1971,,,
Jessie Jazz,,8/17/1985,,,
Jessie Jolie,,,,,
Jessie Law,,,,,
Jessie Lee,,9/19/1984,,,
Jessie Rogers,,8/8/1983,,,
Jessie Sparkles,,,,,
Jessie Volt,,3/29/1990,,,
Jessie Young,,,,,
Jessika Girl,,11/10/1979,,,
Jessika Kane,,,,,
Jessika Lux,,2/15/1990,,,
Jessika Mai,,5/23/1979,,,
Jessy Brown,,8/13/1985,,,
Jessy Dubai,,11/12/1989,,,
Jessy Juice,,,,,
Jessy Tiger,,9/8/1989,,,
Jessy Wynn,,4/21/1985,,5-2,115
Jessyca Wilson,,12/7/1991,,,
Jessyka Swan,,11/8/1991,,,
Jet Richards,,,,,
Jett Black,,,,,
Jewel Affair,,,,,
Jewel De 'Nyle,34D-22-28,8/5/1976,Brown,5-2,99
Jewel De Nyle,34D-22-28,8/5/1976,Brown,5-2,99
Jewel Denyle,34D-22-28,8/5/1976,Brown,5-2,99
Jewel Sins,36B-26-36,7/23/1986,,5-4,
Jewel Styles,,,,,
Jewel Wett,,,,,
Jewell Marceau,34DD-24-36,4/12/1975,Brown,5-3,121
Jewels Jade,34D-24-35,No data,Brown,5-4,110
Jewels West,,,,,
Jeycy Fox,,8/29/1990,,,
Jeyden Raine,,,,,
Jezabel Vessir,,,,,
Jezabelle Bond,,5/27/1979,,,
Jezabelle Sweet,,,,,
Jezabelle Sweets,,,,,
Jezaree Robs,,,,,
Jeze Belle,,,,,
Jezebel Dahl,,12/6/1969,,5-4,
Jezebel Jones,,,,,
Jezebelle Bond,34B-26-36,5/27/1979,Brown,5-6,No data
Jhazira Minxxx,34C-28-32,4/26/1989,,5-1,101
Jhenifer Heloizy,,,,,
Jill Babes,,,,,
Jill Cannon,,,,,
Jill Johns,,4/10/1972,,,
Jill Kelly,37DD-24-35,2/1/1971,Blonde,5-7,114
Jillian Cross,,,,,
Jillian Fox,,,,,
Jillian Grace,,,,,
Jillian Janson,,5/23/1995,,,
Jillian Teya,,,,,
Jim Digiorgio,,,,,
Jim Enright,,,,,
Jim Gunn,,,,,
Jim Malibu,,,,,
Jim Powers,,,,,
Jim Slip,,,,,
Jim Steel,,,,,
Jimena Lago,,,,,
Jimmy D,,,,,
Jimmy Lifestyles,,,,,
Jimmy Scaffnetti,,,,,
Jinger Jewels,,,,5-7,
Jinni Lewis,,,,,
Jiz Lee,,10/30/1980,,,
Jizzelle Ryder,34B-25-34,,,5-5,126
Jj Cruz,,,,,
JJ Holly,34B-25-35,11/13/1981,Brown,5-5,105
Jj Lane,34E-28-36,,,5-6,128
Jj Max,,,,,
Jo May,34B-23-35,5/19/1978,Blonde,5-7,No data
Joan Devlon,,,,,
Joana Redgrave,32B-24-32,6/23/1984,Blonde/Dirty Blonde,5-4,103
Joanie Laurer,,,,,
Joanna Angel,34C-24-34,12/25/1980,Black,4-11,96
Joanna Bliss,34FF-28-38,10/22/1979,,5-4,137
Joanna Jet,,,,,
Joanna Lake,,,,,
Joanna Storm,,8/23/1958,,,
Joanna Sweet,,,,,
Joanne Price,,,,,
Joanne Sweet,,12/31/1987,,,
Jocalynn George,,,,,
Jocelyn Jayden,34C-26-35,No data,Blonde,5-5,125
Jocelyn Potter,,,,,
Joclyn Stone,,8/1/1969,,,
Jodi Bean,,,,,
Jodi James,,,,,
Jodi Roxxx,,,,,
Jodi Taylor,,9/3/1993,,,
Jodi West,,1/1/1965,,,
Jodie Hernendez,34DD-25-36,,,,
Jodie Lee,,,,,
Jodie Moore,34D-26-37,4/11/1976,Blonde,5-1,118
Jodie Starr,34C-24-33,5/13/1988,,5-4,112
Jody Paige,,,,,
Joe Gallant,,,,,
Joe Lani,,,,,
Joe Pusher,,,,,
Joeena Juggs,38E-32-36,,,5-5,
Joei Deluxxx,38D-27-46,,,5-9,146
Joelean,,,,,
Joey Ambrosiano,34A-24-35,,,5-2,115
Joey Angel,,,,,
Joey Edwards,,,,,
Joey Hart,,No data,No data,No data,No data
Joey Lynn,,12/31/1969,,,
Joey Valentine,34B/C,4/30/1985,Brown/Dirty Blonde,5-5,121
Johane Johansson,,2/15/1987,,,
Johanna B,,,,,
Johanna Rain,,,,,
John Christopher,,9/1/1953,,,
John Dragon,,,,,
John Holmes,,8/8/1944,Light Brown,6-2,169
John Jammen,,,,,
John Lyons,,,,,
John T Bone,,,,,
John Whoremonger,,,,,
Johnni Black,37C-24-37,1/14/1968,Brown/Blonde,5-5,No data
Johnny Navaro,,,,,
Johnny Packwood,,,,,
Johnny Ray,,,,,
Johnny Rey,,,,,
Johnny Sharp Jr,,,,,
Jojo Kiss,,11/24/1996,,,
Joleyn Burst,30B-23-34,4/24/1995,,5-9,
Jolie Rain,32GG-23-32,6/3/1985,,5-4,141
Jolie Sky,,,,,
Jolly Jay,,,,,
Jon Woods,,,,,
Jon Yuma,,,,,
Jonathan Christopher,,,,,
Jonni Hennessy,,11/13/1991,,,
Jools Brooke,,,,,
Jorani James,,,,,
Jordan Alexia,,,,,
Jordan Bliss,,,,,
Jordan Blue,,2/17/1976,,,
Jordan Capri,,,,,
Jordan Carter,,,,,
Jordan Davis,,,,,
Jordan Denae,,,,,
Jordan Fleiss,,,,,
Jordan Green,No data,No data,Blonde,No data,No data
Jordan Hart,38E-30-38,5/20/1975,,5-7,143
Jordan Haze,No data,No data,Blonde,No data,No data
Jordan Jagger,,,,,
Jordan James,,,,,
Jordan Kingsley,,11/5/1976,,,
Jordan Lee,38-20-32,10/6/1959,Brown,5-8,114
Jordan Love,,,,,
Jordan Lynn,,,,,
Jordan Maze,34C-23-35,10/8/1979,Blonde,5-8,118
Jordan McKnight,No data,4/7/1974,Black,No data,No data
Jordan Minor,,,,,
Jordan Nevaeh,,,,,
Jordan O'Neil,No data,No data,Black/Brown,5-3,101
Jordan Perry,,,,,
Jordan Pryce,,4/2/1986,,,
Jordan Rain,38D-34-44,,,5-0,150
Jordan Ray,,9/10/1986,,,
Jordan Rivera,,,,,
Jordan Septo,,,,,
Jordan Sparx,,12/8/1984,,,
Jordan Star,,,,,
Jordan Styles,34B-26-38,12/24/1981,Brown/Blonde,5-9,125
Jordan Taylor,,,,,
Jordan West,,No data,No data,No data,No data
Jordan White,,12/8/1984,,,
Jordana Banks,,,,,
Jordana Heat,,,,,
Jordana James,32B-24-34,11/26/1985,Brown,5-6,112
Jordanna Fox,,,,,
Jordanne Kali,32B-24-34,12/7/1987,,5-0,90
Jorden Kennedy,,,,,
Jordi Jae,,6/28/1993,,5-0,132
Jordie South,,8/27/1980,,,
Jordin Skye,,11/16/1982,,,
Jordyn James,,,,,
Jordyn Peaks,38E-26-36,7/19/1979,,5-3,130
Joscylin Brooks,,,,,
Joselina Joker,,,,,
Joseline Kelly,,11/16/1996,,,
Joselyn Pink,34A-26-36,5/15/1981,Brown,5-4,110
Josephine James,,8/2/1968,,,
Josette Lynn,,,,5-9,135
Josette Most,,9/21/1988,,,
Josh Stone,,,,,
Josi Valentine,,5/21/1984,,,
Josie Deville,,,,5-11,108
Josie Jagger,,3/26/1995,,,
Josie James,No data,No data,Blonde,No data,No data
Josie Lynn,,,,,
Joslyn James,,11/22/1977,,,
Josy Nunes,,,,,
Joy Behrman,,,,,
Joy Debonnett,,2/24/1983,,,
Joy Jericho,,,,,
Joy Juggs,42FF-32-36,9/17/1982,,5-7,161
Joy Kiss,,12/30/1974,,5-2,
Joyce Angel,,,,,
Joyce Desouza,,,,,
Joyce Oliveira,34C-24-36,6/10/1972,,5-7,132
JR Carrington,36DD-24-35,11/22/1968,Blonde,5-5,114
Ju Pantera,,7/7/1985,,,
Juanita Lopez,,,,,
Jubilee,No data,No data,Brown/Red,No data,No data
Judit Nemyo,,,,,
Judit Valentik,,,,,
Judita Jones,34B-25-36,11/1/1977,Black,5-6,110
Judith Bella,,10/22/1976,,,
Judith Blond,No data,4/29/1982,Blonde,No data,No data
Judith Elekes,,2/22/1975,,,
Judith Fox,34B-24-33,2/25/1980,Brown,5-6,112
Judith Grant,,4/7/1977,,,
Judith Iron,No data,No data,Brown,No data,No data
Judith Key,,,,,
Judith Kostner,,10/26/1976,,,
Judith Nemyo,36C-24-34,5/20/1982,,5-1,126
Judy Black,35A-25-34,,,,
Judy Blond,,4/7/1977,,,
Judy Marie,,9/10/1989,,,
Judy Nero,34B-25-36,11/1/1977,Black,5-6,110
Judy Smile,,7/13/1991,,,
Judy Star,35B-24-34,4/8/1982,Black/Blonde,5-1,107
Judy White,36D-26-34,9/25/1976,Brown,5-9,123
Judy Wolf,,,,,
Juelz Santana,,,,,
Juelz Ventura,,7/31/1987,,,
Juelz Wine,,,,,
Juicee James,,,,,
Juicy Pearl,,,,,
Juki Lee,,,,,
Julea London,,,,,
Jules Sterling,,,,,
Jules Van Saint,34A-26-34,2/6/1981,Blonde,5-4,114
Juli Ashton,36C-24-36,10/5/1969,Brown,5-9,127
Julia Ann,36D-24-37,10/8/1969,Blonde,5-8,127
Julia Assange,32D-25-36,10/8/1991,,5-5,
Julia Blue,,,,,
Julia Bond,34A-,2/26/1987,Brown,5-1,99
Julia Bright,,1/2/1988,,,
Julia Butt,38DDD-24-40,4/4/1951,,5-1,115
Julia Crow,,4/11/1977,,,
Julia Crown,,4/11/1977,,,
Julia De Lucia,,10/28/1990,,,
Julia Fontanelli,34D-22-36,2/26/1987,,5-11,130
Julia Garvey,No data,3/31/1970,No data,No data,No data
Julia Hunter,,,,,
Julia James,,5/27/1966,,,
Julia Jones,,,,,
Julia Juggs,,1/15/1988,,,
Julia Malova,,,,,
Julia Miles,42H-26-36,12/11/1981,,5-0,143
Julia Parton,,7/4/1964,,,
Julia Roca,,7/3/1990,,,
Julia Scheaffer,,,,,
Julia Schultz,,,,,
Julia Spain,,,,,
Julia Sunrace,32A-21-31,10/11/1984,,5-1,106
Julia Swen,,,,,
Julia Taylor,34D-24-34,11/3/1978,Red,5-5,No data
Julian Fornatora,,,,,
Juliana Gomes,34D-24-34,5/25/1982,,5-11,121
Juliana Grandi,,8/19/1987,,,
Juliana Jolene,,7/19/1981,,,
Juliana Kincaid,,1/15/1982,,,
Juliann More,,1/7/1969,,,
Julianna Vega,,,,,
Julianna Young,,,,,
Julianne Spencer,,,,,
Julie Andrade,,,,,
Julie Ann,36DD-24-36,10/8/1969,,5-7,101
Julie Cash,,5/23/1989,,,
Julie Cassidy,,,,,
Julie Castle,,8/21/1985,,,
Julie Driver,,,,,
Julie Ellis,32A-28-32,9/3/1988,,5-1,99
Julie Faith,,,,,
Julie J,,,,,
Julie Joy,,7/4/1964,,,
Julie K Smith,No data,No data,Blonde,No data,No data
Julie Kay,,,,,
Julie Lynn Cialini,,,,,
Julie Mandrews,34D-25-35,,,5-1,119
Julie Meadows,36D-22-32,2/3/1974,Blonde,5-3,114
Julie Michel,,,,,
Julie Night,No data,7/2/1978,Brown/Blonde,5-4,125
Julie Rage,,7/11/1969,,,
Julie Robbins,36-29-33,9/17/1979,Blonde,5-4,118
Julie Roberts,33C-24-34,2/1/1979,,5-10,
Julie Ryan,34D-22-34,10/11/1982,,5-4,110
Julie Silver,36B-26-36,8/11/1981,Blonde,5-8,121
Julie Simone,38DDD-28-38,2/19/1974,,5-7,121
Julie Skyhigh,,12/13/1991,,,
Julie Strain,41D-27-38,2/18/1962,Brown,6-1,No data
Juliet Anderson,No data,7/23/1938,Blonde,No data,No data
Juliet Cariaga,36C-24-34,19??-12-05,Brown,5-8,No data
Juliet Chase,,,,,
Juliet Sheridon,34D-24-34,4/17/1969,,5-11,126
Juliette Bardot,,,,,
Juliette March,,12/3/1988,,,
Juliette Moore,,,,,
Juliette Shyn,,6/2/1987,,,
Juliette Vandory,36B-25-36,2/15/1990,,5-7,121
Julissa Delor,34B-,1987-??-??,Brown,5-1,94
Julissa James,34D-26-36,,,5-4,119
Julliet,34D-25-37,12/22/1979,Blonde,5-7,No data
July Jones,34C-25-28,,,,
July Paiva,32C-24-35,3/22/1986,,5-0,121
July Red,,2/10/1978,,,
Julya Bright,,,,,
Jun Kusanagi,,,,,
June Summers,,9/19/1970,,,
Junko Miyashita,,,,,
Justice Jade,36A-24-36,4/3/1985,,4-8,108
Justin Brazilia,,,,,
Justin Case,,,,,
Justin Myers,,,,,
Justin Unwell,,,,,
Justin,,No data,Black,No data,No data
Justine Ashley,,,,,
Justine Bell,,,,,
Justine Joli,34-24-34,7/16/1980,Brown/Blonde/Red,5-8,107
Justine Ramos,,,,,
Justine Reage,,,,,
Justine Romee,34C-22-33,8/8/1965,Brown,5-1,101
Justine Sade,32C-23-35,,,5-4,110
Justine Sands,,,,,
Justine Taylor,32B-23-33,,,5-0,
Jynx Maze,,1/1/1991,,,
K Logg,,,,,
K'Cee Kreppein,,,,,
Kacee Daniels,,,,,
Kacee Harley,,,,,
Kacey Jones,34A-26-34,4/1/1987,,5-4,115
Kacey Jordan,No data,No data,Blonde,5-4,No data
Kacey Parker,,,,,
Kacey Quinn,,6/20/1995,,,
Kacey Villainess,No data,No data,Blonde,No data,No data
Kacey Weather,,,,,
Kacey,34C-24-34,6/2/1982,Brown,5-4,114
Kaci Kay,,,,,
Kaci Star,38D-30-32,6/29/1985,Brown,5-3,129
Kacie Hunt,,,,,
Kacie James,28B-26-32,9/26/1989,,5-4,104
Kacy Lane,,6/13/1994,,,
Kadence Kailey,,,,,
Kady Rose,,,,,
Kaelyn Penn,,,,,
Kagney Linn Karter,,3/28/1987,,,
Kah Fee Kakes,,,,,
Kai Wu,,,,,
Kaian Dior,,,,,
Kaicee Marie,,,,,
Kaila Mai,,,,,
Kaila Yu,,,,,
Kailee Arkin,,,,,
Kailey Star,,,,,
Kailyn Carter,,,,,
Kaira Paolo,,,,,
Kaisey Dean,,,,,
Kait Snow,,,,5-2,
Kaitlin Rush,,,,,
Kaitlyn Andrews,,,,,
Kaitlyn Ashley,34D-24-34,6/29/1971,Blonde,5-5,110
Kaiya Lynn,32C-23-32,2/17/1980,Black,4-11,99
Kala Ferard,32B-25-36,1/1/1990,,5-0,108
Kala Prettyman,36D,12/10/1975,Blonde,5-5,134
Kalani Breeze,34D-24-32,9/12/1976,,5-11,110
Kaleah,,,,,
Kalee Hunter,,,,,
Kali Dreams,36C-28-42,8/7/1984,,5-2,146
Kali James,,12/16/1994,,,
Kali Kavalli,,12/19/1984,,,
Kali Lane,34C-25-36,6/1/1988,,5-9,119
Kali Michaels,,,,,
Kali Stylz,34B-28-36,,,5-0,135
Kali West,,,,,
Kalie Cruise,,,,,
Kalila Kane,39E-29-36,12/9/1989,,5-9,
Kalley Stevens,,,,,
Kaly Caro,,,,,
Kami Andrews,34D-25-34,3/1/1975,Brown,5-4,121
Kami Nikita,,2/27/1976,,,
Kamila Latina,,,,,
Kamille Amora,,3/31/1989,,,
Kamryn Kingston,,,,,
Kamryn Monroe,49-40-48,6/21/1993,,5-3,221
Kanade Asamiya,,,,,
Kandace Kavalli,,,,,
Kandee Licks,,,,,
Kandi Balicc,,,,,
Kandi Barbour,No data,No data,Brown,No data,No data
Kandi Cox,,,,,
Kandi Deelight,,,,,
Kandi Ellison,,,,,
Kandi Hart,,8/5/1982,,,
Kandi Kobain,,8/3/1985,,,
Kandi Kream,,,,,
Kandi Luv,,,,,
Kandi Milan,,2/11/1991,,,
Kandi White,,,,,
Kandice Kavelli,,,,,
Kandis Kelly,,,,,
Kandy Kane,No data,No data,No data,No data,No data
Kandy Kash,36C-28-36,8/2/1984,,5-0,137
Kandy Rainz,34B-22-38,,,,
Kaoru Nagisa,,,,,
Kapri Styles,32A-19-36,11/27/1981,Black/Brown,5-7,123
Kara Dax,,1/19/1989,,,
Kara Finley,,,,5-6,110
Kara Hartley,,,,,
Kara Kane,36C-26-39,,,5-9,130
Kara Mynor,34A-25-34,4/12/1987,Blonde/Light Brown,5-2,105
Kara Novak,,7/28/1989,,,
Kara Nox,36D-27-34,7/23/1975,Blonde,5-4,121
Kara Price,,1/19/1989,,,
Kara Sin,34B-26-38,11/23/1976,,5-9,126
Kara Styler,,,,,
Kara Tai,,,,,
Kara tang,,,,,
Kara W,,8/6/1961,,,
Karen Bakker,,4/20/1994,,5-10,110
Karen Bless,,,,,
